,Pips,Acc,Wons,Losts,Expired,Trades,Longs,Shorts,openHour,endHour,openCandles,lvlNumber,minDiff,candleMinutes,minMovement,tp,sl,waitingCandles
93,-0.0015500000000005171,0.36363636363636365,1,0,10,11,9,2,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.001,0.0015,1
94,-0.008420000000002046,0.2727272727272727,3,0,30,33,28,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.001,0.0015,3
95,-0.010830000000002756,0.30612244897959184,4,0,45,49,44,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.001,0.0015,5
96,-0.00024000000000037208,0.36363636363636365,0,1,10,11,9,2,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.0015,0.001,1
97,0.00015999999999842852,0.36363636363636365,0,5,28,33,28,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.0015,0.001,3
98,-0.001950000000002425,0.3673469387755102,0,5,44,49,44,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.0015,0.001,5
99,-0.0025200000000005426,0.2727272727272727,0,0,11,11,9,2,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.0015,0.0015,1
100,-0.010030000000002266,0.21212121212121213,0,0,33,33,28,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.0015,0.0015,3
101,-0.01214000000000312,0.2653061224489796,0,0,49,49,44,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.0015,0.0015,5
102,-0.00024000000000037208,0.36363636363636365,0,1,10,11,9,2,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.002,0.001,1
103,0.00015999999999842852,0.36363636363636365,0,5,28,33,28,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.002,0.001,3
104,-0.001950000000002425,0.3673469387755102,0,5,44,49,44,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.002,0.001,5
105,-0.0025200000000005426,0.2727272727272727,0,0,11,11,9,2,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.002,0.0015,1
106,-0.010030000000002266,0.21212121212121213,0,0,33,33,28,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.002,0.0015,3
107,-0.01214000000000312,0.2653061224489796,0,0,49,49,44,5,8,15,5,2,0.1,"[0, 20, 40]",0.0005,0.002,0.0015,5
108,0.0006699999999996809,0.35294117647058826,3,2,12,17,16,1,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.001,0.001,1
109,-0.00490000000000112,0.2571428571428571,3,3,29,35,31,4,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.001,0.001,3
110,-0.006220000000001194,0.22727272727272727,3,4,37,44,38,6,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.001,0.001,5
111,0.0016699999999996802,0.35294117647058826,3,2,12,17,16,1,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.001,0.0015,1
112,-0.005680000000001125,0.22857142857142856,3,2,30,35,31,4,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.001,0.0015,3
113,-0.007000000000001201,0.20454545454545456,4,2,38,44,38,6,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.001,0.0015,5
114,-0.0011200000000003859,0.29411764705882354,0,2,15,17,16,1,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.0015,0.001,1
115,-0.006690000000001186,0.22857142857142856,0,3,32,35,31,4,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.0015,0.001,3
116,-0.008010000000001261,0.20454545454545456,0,4,40,44,38,6,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.0015,0.001,5
117,-0.00012000000000038651,0.29411764705882354,0,2,15,17,16,1,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.0015,0.0015,1
118,-0.007470000000001192,0.2,0,2,33,35,31,4,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.0015,0.0015,3
119,-0.00869000000000139,0.18181818181818182,0,2,42,44,38,6,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.0015,0.0015,5
120,-0.0011200000000003859,0.29411764705882354,0,2,15,17,16,1,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.002,0.001,1
121,-0.006690000000001186,0.22857142857142856,0,3,32,35,31,4,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.002,0.001,3
122,-0.008010000000001261,0.20454545454545456,0,4,40,44,38,6,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.002,0.001,5
123,-0.00012000000000038651,0.29411764705882354,0,2,15,17,16,1,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.002,0.0015,1
124,-0.007470000000001192,0.2,0,2,33,35,31,4,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.002,0.0015,3
125,-0.00869000000000139,0.18181818181818182,0,2,42,44,38,6,8,15,5,2,0.2,"[0, 20, 40]",0.0003,0.002,0.0015,5
